timestamp,production_ton,kiln_status,shift_type
2023-02-26,167.12337051369,Çalışıyor,Bakım
2023-02-27,161.5999797620923,Çalışıyor,3 Vardiya
2023-02-28,97.96941594270893,Çalışıyor,3 Vardiya
2023-03-01,127.21069287421446,Çalışıyor,3 Vardiya
2023-03-02,133.2974360481329,Çalışıyor,3 Vardiya
2023-03-03,105.10511822279756,Çalışıyor,3 Vardiya
2023-03-04,166.98024119595073,Çalışıyor,2 Vardiya
2023-03-05,104.2584522705969,Çalışıyor,Bakım
2023-03-06,131.00123838027238,Çalışıyor,3 Vardiya
2023-03-07,141.79532052884457,Çalışıyor,3 Vardiya
2023-03-08,149.30235463550437,Çalışıyor,3 Vardiya
2023-03-09,100.76383846819445,Çalışıyor,3 Vardiya
2023-03-10,196.1104641904729,Çalışıyor,3 Vardiya
2023-03-11,184.36644501135248,Çalışıyor,2 Vardiya
2023-03-12,165.49579235366613,Çalışıyor,Bakım
2023-03-13,109.34521814511204,Çalışıyor,3 Vardiya
2023-03-14,124.83436942428685,Çalışıyor,3 Vardiya
2023-03-15,71.72574369930588,Çalışıyor,3 Vardiya
2023-03-16,221.0686888820245,Çalışıyor,3 Vardiya
2023-03-17,123.92267170789471,Çalışıyor,3 Vardiya
2023-03-18,138.08746648860628,Çalışıyor,2 Vardiya
2023-03-19,78.39222923584386,Çalışıyor,Bakım
2023-03-20,78.37549290202742,Çalışıyor,3 Vardiya
2023-03-21,155.42782897530552,Çalışıyor,3 Vardiya
2023-03-22,117.77739196355674,Çalışıyor,3 Vardiya
2023-03-23,60.58269548141927,Çalışıyor,3 Vardiya
2023-03-24,175.19454554199385,Çalışıyor,3 Vardiya
2023-03-25,125.67873700278149,Çalışıyor,2 Vardiya
2023-03-26,93.09445005541491,Çalışıyor,Bakım
2023-03-27,131.69268933983273,Çalışıyor,3 Vardiya
2023-03-28,130.43142064247513,Çalışıyor,3 Vardiya
2023-03-29,118.07329368118265,Çalışıyor,3 Vardiya
2023-03-30,172.0834245372504,Çalışıyor,3 Vardiya
2023-03-31,37.75498405888881,Çalışıyor,3 Vardiya
2023-04-01,123.64304626714863,Çalışıyor,2 Vardiya
2023-04-02,138.22048456820414,Çalışıyor,Bakım
2023-04-03,158.57777990100598,Çalışıyor,3 Vardiya
2023-04-04,165.11704315515536,Çalışıyor,3 Vardiya
2023-04-05,14.796942080979136,Çalışıyor,3 Vardiya
2023-04-06,200.0668586265299,Çalışıyor,3 Vardiya
2023-04-07,196.66080033126903,Çalışıyor,3 Vardiya
2023-04-08,45.3788171733915,Çalışıyor,2 Vardiya
2023-04-09,124.89369184196029,Çalışıyor,Bakım
2023-04-10,112.27607967790854,Çalışıyor,3 Vardiya
2023-04-11,80.12968389997582,Çalışıyor,3 Vardiya
2023-04-12,180.6226956451244,Çalışıyor,3 Vardiya
2023-04-13,133.34472906757986,Çalışıyor,3 Vardiya
2023-04-14,166.59200005550946,Çalışıyor,3 Vardiya
2023-04-15,57.56032496393496,Çalışıyor,2 Vardiya
2023-04-16,102.24471937715656,Çalışıyor,Bakım
2023-04-17,185.63256690393854,Çalışıyor,3 Vardiya
2023-04-18,166.3916553815534,Çalışıyor,3 Vardiya
2023-04-19,97.61888823797753,Çalışıyor,3 Vardiya
2023-04-20,131.72296156115658,Çalışıyor,3 Vardiya
2023-04-21,157.56668879036968,Çalışıyor,3 Vardiya
2023-04-22,130.61916863099987,Çalışıyor,2 Vardiya
2023-04-23,236.67271249680437,Çalışıyor,Bakım
2023-04-24,122.70458704579777,Çalışıyor,3 Vardiya
2023-04-25,72.62530423154386,Çalışıyor,3 Vardiya
2023-04-26,209.6743612298996,Çalışıyor,3 Vardiya
2023-04-27,60.26907446404613,Çalışıyor,3 Vardiya
2023-04-28,95.41336906677914,Çalışıyor,3 Vardiya
2023-04-29,141.12314831870953,Çalışıyor,2 Vardiya
2023-04-30,161.9202478282895,Çalışıyor,Bakım
2023-05-01,136.01069851398537,Çalışıyor,3 Vardiya
2023-05-02,101.49037695865599,Çalışıyor,3 Vardiya
2023-05-03,91.11651585659376,Çalışıyor,3 Vardiya
2023-05-04,176.8897975245962,Çalışıyor,3 Vardiya
2023-05-05,120.59451934439731,Çalışıyor,3 Vardiya
2023-05-06,176.72108183259957,Çalışıyor,2 Vardiya
2023-05-07,74.00346094601424,Çalışıyor,Bakım
2023-05-08,79.45085463450187,Çalışıyor,3 Vardiya
2023-05-09,220.68874197406168,Çalışıyor,3 Vardiya
2023-05-10,137.87686484430512,Çalışıyor,3 Vardiya
2023-05-11,59.601876137149105,Çalışıyor,3 Vardiya
2023-05-12,104.86084835932388,Çalışıyor,3 Vardiya
2023-05-13,140.77888753778578,Çalışıyor,2 Vardiya
2023-05-14,147.71868604189024,Çalışıyor,Bakım
2023-05-15,83.7374027366772,Çalışıyor,3 Vardiya
2023-05-16,127.05042600412952,Çalışıyor,3 Vardiya
2023-05-17,146.7420729671623,Çalışıyor,3 Vardiya
2023-05-18,138.21800506718267,Çalışıyor,3 Vardiya
2023-05-19,207.45546281628583,Çalışıyor,3 Vardiya
2023-05-20,219.12587675663585,Çalışıyor,2 Vardiya
2023-05-21,129.7291653133804,Çalışıyor,Bakım
2023-05-22,75.91668981190821,Çalışıyor,3 Vardiya
2023-05-23,83.52231147912073,Çalışıyor,3 Vardiya
2023-05-24,41.699553174399355,Çalışıyor,3 Vardiya
2023-05-25,123.76039596661843,Çalışıyor,3 Vardiya
2023-05-26,118.56065129714823,Çalışıyor,3 Vardiya
2023-05-27,49.35456827800013,Çalışıyor,2 Vardiya
2023-05-28,69.60457903240508,Çalışıyor,Bakım
2023-05-29,143.00287177851368,Çalışıyor,3 Vardiya
2023-05-30,143.63694445417443,Çalışıyor,3 Vardiya
2023-05-31,2.9398024808078134,Çalışıyor,3 Vardiya
2023-06-01,101.59651245296274,Çalışıyor,3 Vardiya
2023-06-02,206.18383355173745,Çalışıyor,3 Vardiya
2023-06-03,84.5342846024744,Çalışıyor,2 Vardiya
2023-06-04,7.793268120717883,Çalışıyor,Bakım
2023-06-05,194.25501448481015,Çalışıyor,3 Vardiya
2023-06-06,188.67158997177222,Çalışıyor,3 Vardiya
2023-06-07,159.24409521932873,Çalışıyor,3 Vardiya
2023-06-08,166.31499432237047,Çalışıyor,3 Vardiya
2023-06-09,151.752008899133,Çalışıyor,3 Vardiya
2023-06-10,123.47215058572682,Çalışıyor,2 Vardiya
2023-06-11,122.15521115780463,Çalışıyor,Bakım
2023-06-12,172.81751663825455,Çalışıyor,3 Vardiya
2023-06-13,55.256951344716065,Çalışıyor,3 Vardiya
2023-06-14,109.87754529609194,Çalışıyor,3 Vardiya
2023-06-15,69.90243802356079,Çalışıyor,3 Vardiya
2023-06-16,106.29005619176368,Çalışıyor,3 Vardiya
2023-06-17,215.40875396213,Çalışıyor,2 Vardiya
2023-06-18,94.17829924401049,Çalışıyor,Bakım
2023-06-19,34.43046510214768,Çalışıyor,3 Vardiya
2023-06-20,97.75028834478442,Çalışıyor,3 Vardiya
2023-06-21,155.51816903451623,Çalışıyor,3 Vardiya
2023-06-22,108.96594844913213,Çalışıyor,3 Vardiya
2023-06-23,169.21222335851743,Çalışıyor,3 Vardiya
2023-06-24,104.0568635043993,Çalışıyor,2 Vardiya
2023-06-25,148.99112859513264,Çalışıyor,Bakım
2023-06-26,62.19785194661611,Çalışıyor,3 Vardiya
2023-06-27,87.82688255121946,Çalışıyor,3 Vardiya
2023-06-28,148.21246067107427,Çalışıyor,3 Vardiya
2023-06-29,95.99224513334107,Çalışıyor,3 Vardiya
2023-06-30,69.67362241083278,Çalışıyor,3 Vardiya
2023-07-01,160.35008613684568,Çalışıyor,2 Vardiya
2023-07-02,82.83887759439503,Çalışıyor,Bakım
2023-07-03,14.345614954831163,Çalışıyor,3 Vardiya
2023-07-04,107.43456072251571,Çalışıyor,3 Vardiya
2023-07-05,167.36390835813705,Çalışıyor,3 Vardiya
2023-07-06,94.80910121896675,Çalışıyor,3 Vardiya
2023-07-07,165.1260124934543,Çalışıyor,3 Vardiya
2023-07-08,88.66715131098447,Çalışıyor,2 Vardiya
2023-07-09,33.563801631997464,Çalışıyor,Bakım
2023-07-10,117.00895558422292,Çalışıyor,3 Vardiya
2023-07-11,133.2304670973714,Çalışıyor,3 Vardiya
2023-07-12,129.14745630926438,Çalışıyor,3 Vardiya
2023-07-13,101.59156806820147,Çalışıyor,3 Vardiya
2023-07-14,85.36599939801326,Çalışıyor,3 Vardiya
2023-07-15,114.76145580411978,Çalışıyor,2 Vardiya
2023-07-16,163.62994189119695,Çalışıyor,Bakım
2023-07-17,185.3406151445531,Çalışıyor,3 Vardiya
2023-07-18,138.46982465572148,Çalışıyor,3 Vardiya
2023-07-19,80.68826313661461,Çalışıyor,3 Vardiya
2023-07-20,127.33239812895734,Çalışıyor,3 Vardiya
2023-07-21,97.83868752571124,Çalışıyor,3 Vardiya
2023-07-22,101.06181972324643,Çalışıyor,2 Vardiya
2023-07-23,143.05482443653145,Çalışıyor,Bakım
2023-07-24,70.69818473095057,Çalışıyor,3 Vardiya
2023-07-25,65.10581004255363,Çalışıyor,3 Vardiya
2023-07-26,124.13655431534333,Çalışıyor,3 Vardiya
2023-07-27,74.70335758920993,Çalışıyor,3 Vardiya
2023-07-28,215.63979019340002,Çalışıyor,3 Vardiya
2023-07-29,136.64843257582072,Çalışıyor,2 Vardiya
2023-07-30,56.84546603152163,Çalışıyor,Bakım
2023-07-31,191.94711458324429,Çalışıyor,3 Vardiya
2023-08-01,94.99845847549014,Çalışıyor,3 Vardiya
2023-08-02,174.28933351950943,Çalışıyor,3 Vardiya
2023-08-03,89.78347201500576,Çalışıyor,3 Vardiya
2023-08-04,179.39340401285338,Çalışıyor,3 Vardiya
2023-08-05,127.37207058548073,Çalışıyor,2 Vardiya
2023-08-06,104.67909651484794,Çalışıyor,Bakım
2023-08-07,126.95140067072117,Çalışıyor,3 Vardiya
2023-08-08,116.0979232547466,Çalışıyor,3 Vardiya
2023-08-09,123.78590414540218,Çalışıyor,3 Vardiya
2023-08-10,92.54680875527836,Çalışıyor,3 Vardiya
2023-08-11,86.54699673676326,Çalışıyor,3 Vardiya
2023-08-12,81.32065730894237,Çalışıyor,2 Vardiya
2023-08-13,152.79797504190162,Çalışıyor,Bakım
2023-08-14,133.13481624482037,Çalışıyor,3 Vardiya
2023-08-15,44.5633572771211,Çalışıyor,3 Vardiya
2023-08-16,152.5690608064251,Çalışıyor,3 Vardiya
2023-08-17,71.44642242410177,Çalışıyor,3 Vardiya
2023-08-18,122.45000412341953,Çalışıyor,3 Vardiya
2023-08-19,118.38075508305215,Çalışıyor,2 Vardiya
2023-08-20,143.86199340177618,Çalışıyor,Bakım
2023-08-21,167.802487817844,Çalışıyor,3 Vardiya
2023-08-22,200.27262755612009,Çalışıyor,3 Vardiya
2023-08-23,137.97495436789694,Çalışıyor,3 Vardiya
2023-08-24,116.50244909635269,Çalışıyor,3 Vardiya
2023-08-25,170.000285867767,Çalışıyor,3 Vardiya
2023-08-26,101.82706054795246,Çalışıyor,2 Vardiya
2023-08-27,124.48152025220115,Çalışıyor,Bakım
2023-08-28,78.76360917469125,Çalışıyor,3 Vardiya
2023-08-29,120.35608921397638,Çalışıyor,3 Vardiya
2023-08-30,163.47943491446136,Çalışıyor,3 Vardiya
2023-08-31,77.41572195408082,Çalışıyor,3 Vardiya
2023-09-01,159.96775128161016,Çalışıyor,3 Vardiya
2023-09-02,139.16019518525766,Çalışıyor,2 Vardiya
2023-09-03,149.19184409267515,Çalışıyor,Bakım
2023-09-04,56.61352125972794,Çalışıyor,3 Vardiya
2023-09-05,0.0,Çalışıyor,3 Vardiya
2023-09-06,62.32217405070017,Çalışıyor,3 Vardiya
2023-09-07,157.17920260832673,Çalışıyor,3 Vardiya
2023-09-08,138.30387796278708,Çalışıyor,3 Vardiya
2023-09-09,155.21430052258503,Çalışıyor,2 Vardiya
2023-09-10,48.50840073092452,Çalışıyor,Bakım
2023-09-11,166.5870126226848,Çalışıyor,3 Vardiya
2023-09-12,214.3800411812927,Çalışıyor,3 Vardiya
2023-09-13,87.60864605278144,Çalışıyor,3 Vardiya
2023-09-14,124.91198178448957,Çalışıyor,3 Vardiya
2023-09-15,134.9251061465008,Çalışıyor,3 Vardiya
2023-09-16,105.58432626832014,Çalışıyor,2 Vardiya
2023-09-17,182.28102760504038,Çalışıyor,Bakım
2023-09-18,214.14505784512744,Çalışıyor,3 Vardiya
2023-09-19,58.885149298046436,Çalışıyor,3 Vardiya
2023-09-20,120.44340079657904,Çalışıyor,3 Vardiya
2023-09-21,86.54295012911496,Çalışıyor,3 Vardiya
2023-09-22,53.52854159011033,Çalışıyor,3 Vardiya
2023-09-23,180.77360536056017,Çalışıyor,2 Vardiya
2023-09-24,132.19049519710217,Çalışıyor,Bakım
2023-09-25,173.67793674570055,Çalışıyor,3 Vardiya
2023-09-26,107.16350837749842,Çalışıyor,3 Vardiya
2023-09-27,139.72855392601707,Çalışıyor,3 Vardiya
2023-09-28,37.019818176071894,Çalışıyor,3 Vardiya
2023-09-29,121.07636211639922,Çalışıyor,3 Vardiya
2023-09-30,101.94865561794603,Çalışıyor,2 Vardiya
2023-10-01,118.5023782846652,Çalışıyor,Bakım
2023-10-02,138.4944841968029,Çalışıyor,3 Vardiya
2023-10-03,124.29766162571335,Çalışıyor,3 Vardiya
2023-10-04,125.31702896811157,Çalışıyor,3 Vardiya
2023-10-05,137.7624795076571,Çalışıyor,3 Vardiya
2023-10-06,65.06295958730604,Çalışıyor,3 Vardiya
2023-10-07,165.63305633050925,Çalışıyor,2 Vardiya
2023-10-08,76.48272671092138,Çalışıyor,Bakım
2023-10-09,71.7195095880912,Çalışıyor,3 Vardiya
2023-10-10,72.87594573165714,Çalışıyor,3 Vardiya
2023-10-11,104.43620062241988,Çalışıyor,3 Vardiya
2023-10-12,108.42097420433144,Çalışıyor,3 Vardiya
2023-10-13,145.5462786480433,Çalışıyor,3 Vardiya
2023-10-14,172.21379499715832,Çalışıyor,2 Vardiya
2023-10-15,137.15699801748806,Çalışıyor,Bakım
2023-10-16,164.33117623078357,Çalışıyor,3 Vardiya
2023-10-17,93.27719231655952,Çalışıyor,3 Vardiya
2023-10-18,67.54238714440547,Çalışıyor,3 Vardiya
2023-10-19,196.22596244128812,Çalışıyor,3 Vardiya
2023-10-20,127.20547244597469,Çalışıyor,3 Vardiya
2023-10-21,104.91982547608936,Çalışıyor,2 Vardiya
2023-10-22,67.55952763848316,Çalışıyor,Bakım
2023-10-23,190.04085599562256,Çalışıyor,3 Vardiya
2023-10-24,76.73077222450804,Çalışıyor,3 Vardiya
2023-10-25,153.1046584099993,Çalışıyor,3 Vardiya
2023-10-26,117.47469546357038,Çalışıyor,3 Vardiya
2023-10-27,104.36544610963085,Çalışıyor,3 Vardiya
2023-10-28,113.43251333936557,Çalışıyor,2 Vardiya
2023-10-29,118.18115207078912,Çalışıyor,Bakım
2023-10-30,54.24869711573715,Çalışıyor,3 Vardiya
2023-10-31,141.31433752347394,Çalışıyor,3 Vardiya
2023-11-01,99.80366608434838,Çalışıyor,3 Vardiya
2023-11-02,87.75573995670604,Çalışıyor,3 Vardiya
2023-11-03,74.53189670191111,Çalışıyor,3 Vardiya
2023-11-04,41.807928637659714,Çalışıyor,2 Vardiya
2023-11-05,67.6889670205845,Çalışıyor,Bakım
2023-11-06,70.1374972401407,Çalışıyor,3 Vardiya
2023-11-07,210.57705197645518,Çalışıyor,3 Vardiya
2023-11-08,56.13436397254464,Çalışıyor,3 Vardiya
2023-11-09,154.213426493703,Çalışıyor,3 Vardiya
2023-11-10,132.53362868093367,Çalışıyor,3 Vardiya
2023-11-11,164.06176282335977,Çalışıyor,2 Vardiya
2023-11-12,122.54888593510994,Çalışıyor,Bakım
2023-11-13,119.54594209249356,Çalışıyor,3 Vardiya
2023-11-14,121.86936771286538,Çalışıyor,3 Vardiya
2023-11-15,74.72816551738345,Çalışıyor,3 Vardiya
2023-11-16,80.95393419774959,Çalışıyor,3 Vardiya
2023-11-17,135.56362600333523,Çalışıyor,3 Vardiya
2023-11-18,100.65782191688297,Çalışıyor,2 Vardiya
2023-11-19,87.51673441158312,Çalışıyor,Bakım
2023-11-20,96.6267333541715,Çalışıyor,3 Vardiya
2023-11-21,169.11416866377928,Çalışıyor,3 Vardiya
2023-11-22,122.54427949424974,Çalışıyor,3 Vardiya
2023-11-23,71.1915850371134,Çalışıyor,3 Vardiya
2023-11-24,104.05372008599088,Çalışıyor,3 Vardiya
2023-11-25,101.1480156145194,Çalışıyor,2 Vardiya
2023-11-26,163.48552650745225,Çalışıyor,Bakım
2023-11-27,24.389275017072634,Çalışıyor,3 Vardiya
2023-11-28,79.97971651650101,Çalışıyor,3 Vardiya
2023-11-29,62.406496559337725,Çalışıyor,3 Vardiya
2023-11-30,105.24925946275823,Çalışıyor,3 Vardiya
2023-12-01,163.46156320194,Çalışıyor,3 Vardiya
2023-12-02,146.05382812903915,Çalışıyor,2 Vardiya
2023-12-03,54.41984678870908,Çalışıyor,Bakım
2023-12-04,182.96556623468098,Çalışıyor,3 Vardiya
2023-12-05,95.18405065930034,Çalışıyor,3 Vardiya
2023-12-06,125.70762284908925,Çalışıyor,3 Vardiya
2023-12-07,57.43297025210713,Çalışıyor,3 Vardiya
2023-12-08,137.39448946812308,Çalışıyor,3 Vardiya
2023-12-09,95.45793790083553,Çalışıyor,2 Vardiya
2023-12-10,140.10018961930862,Çalışıyor,Bakım
2023-12-11,66.69498888867372,Çalışıyor,3 Vardiya
2023-12-12,130.3341512391586,Çalışıyor,3 Vardiya
2023-12-13,98.34429823591849,Çalışıyor,3 Vardiya
2023-12-14,114.93396930693163,Çalışıyor,3 Vardiya
2023-12-15,98.31256246851657,Çalışıyor,3 Vardiya
2023-12-16,114.43681584876032,Çalışıyor,2 Vardiya
2023-12-17,102.54598482037403,Çalışıyor,Bakım
2023-12-18,135.12087909281806,Çalışıyor,3 Vardiya
2023-12-19,114.61826563906658,Çalışıyor,3 Vardiya
2023-12-20,74.9358103894541,Çalışıyor,3 Vardiya
2023-12-21,77.49022577214268,Çalışıyor,3 Vardiya
2023-12-22,132.51573961349612,Çalışıyor,3 Vardiya
2023-12-23,0.0,Çalışıyor,2 Vardiya
2023-12-24,81.60764224102347,Çalışıyor,Bakım
2023-12-25,109.44714188873661,Çalışıyor,3 Vardiya
2023-12-26,119.7601126918645,Çalışıyor,3 Vardiya
2023-12-27,214.49126385418913,Çalışıyor,3 Vardiya
2023-12-28,99.4848049879762,Çalışıyor,3 Vardiya
2023-12-29,35.90411775362621,Çalışıyor,3 Vardiya
2023-12-30,70.23099402575023,Çalışıyor,2 Vardiya
2023-12-31,51.70124705325034,Çalışıyor,Bakım
2024-01-01,24.108155026871856,Çalışıyor,3 Vardiya
